timestamp,temperature_c,pressure_hpa,humidity_percent,light_lux,distance_cm,object_detected
2026-04-29T13:42:46,26.31,838.5,13.31,69.17,10.4,1
2026-04-29T13:42:47,26.31,838.52,13.13,67.5,10.7,1
2026-04-29T13:42:48,26.31,838.55,13.02,68.33,11.1,1
2026-04-29T13:42:49,26.31,838.53,12.96,68.33,11.3,1
2026-04-29T13:42:50,26.31,838.5,12.93,69.17,11.5,1
2026-04-29T13:42:51,26.31,838.5,12.9,67.5,11.5,1
2026-04-29T13:42:52,26.31,838.51,12.88,68.33,11.5,1
2026-04-29T13:42:53,26.31,838.51,12.86,68.33,11.6,1
2026-04-29T13:42:54,26.32,838.53,12.85,65.0,11.8,1
2026-04-29T13:42:55,26.32,838.53,12.83,65.0,11.7,1
2026-04-29T13:42:56,26.32,838.47,12.82,65.83,11.3,1
2026-04-29T13:42:57,26.31,838.49,12.8,65.83,11.0,1
2026-04-29T13:42:58,26.32,838.58,12.8,65.0,11.0,1
2026-04-29T13:42:59,26.32,838.54,12.76,65.0,10.7,1
2026-04-29T13:43:00,26.31,838.49,12.78,66.67,11.3,1
2026-04-29T13:43:01,26.31,838.51,12.74,68.33,11.3,1
2026-04-29T13:43:02,26.31,838.51,12.72,70.0,11.3,1
2026-04-29T13:43:03,26.32,838.53,12.68,69.17,11.2,1
2026-04-29T13:43:04,26.32,838.58,12.67,69.17,11.6,1
2026-04-29T13:43:06,26.32,838.58,12.68,71.67,11.6,1
2026-04-29T13:43:07,26.32,838.68,12.69,69.17,11.8,1
2026-04-29T13:43:08,26.32,838.66,12.69,65.83,11.4,1
2026-04-29T13:43:09,26.32,838.6,12.71,66.67,11.6,1
2026-04-29T13:43:10,26.32,838.57,12.72,64.17,11.0,1
2026-04-29T13:43:11,26.32,838.52,12.73,65.83,11.2,1
2026-04-29T13:43:12,26.32,838.48,12.71,66.67,11.1,1
2026-04-29T13:43:13,26.32,838.52,12.67,68.33,11.3,1
2026-04-29T13:43:14,26.32,838.49,12.63,68.33,11.2,1
2026-04-29T13:43:15,26.32,838.5,12.6,69.17,11.1,1
2026-04-29T13:43:16,26.32,838.52,12.58,69.17,11.4,1
