timestamp,temperature_c,pressure_hpa,humidity_percent,light_lux,distance_cm,object_detected
2026-04-29T15:04:47,25.93,838.49,16.98,4.17,100.0,0
2026-04-29T15:04:48,25.93,838.5,16.83,4.17,100.0,0
2026-04-29T15:04:49,25.92,838.53,16.79,4.17,100.0,0
2026-04-29T15:04:50,25.92,838.51,16.73,4.17,100.0,0
2026-04-29T15:04:51,25.92,838.47,16.7,4.17,100.0,0
2026-04-29T15:04:52,25.92,838.47,16.69,4.17,100.0,0
2026-04-29T15:04:53,25.92,838.47,16.69,4.17,100.0,0
2026-04-29T15:04:54,25.92,838.45,16.72,4.17,100.0,0
2026-04-29T15:04:55,25.93,838.43,16.73,4.17,100.0,0
2026-04-29T15:04:56,25.93,838.45,16.74,4.17,100.0,0
2026-04-29T15:04:57,25.93,838.45,16.75,4.17,100.0,0
2026-04-29T15:04:58,25.93,838.47,16.77,4.17,100.0,0
2026-04-29T15:04:59,25.93,838.46,16.82,4.17,100.0,0
2026-04-29T15:05:00,25.93,838.48,16.88,5.0,100.0,0
2026-04-29T15:05:01,25.93,838.46,16.91,5.0,100.0,0
2026-04-29T15:05:02,25.93,838.46,16.95,5.0,100.0,0
2026-04-29T15:05:03,25.94,838.47,16.98,5.0,100.0,0
2026-04-29T15:05:04,25.94,838.44,17.02,5.0,100.0,0
2026-04-29T15:05:05,25.94,838.44,17.04,5.0,100.0,0
2026-04-29T15:05:06,25.94,838.42,17.05,5.0,100.0,0
2026-04-29T15:05:07,25.94,838.45,17.08,4.17,100.0,0
2026-04-29T15:05:08,25.95,838.45,17.09,4.17,100.0,0
2026-04-29T15:05:09,25.94,838.44,17.1,5.0,100.0,0
2026-04-29T15:05:10,25.95,838.42,17.11,5.0,100.0,0
2026-04-29T15:05:11,25.95,838.42,17.11,4.17,100.0,0
2026-04-29T15:05:12,25.94,838.41,17.11,4.17,100.0,0
2026-04-29T15:05:13,25.95,838.41,17.11,4.17,100.0,0
2026-04-29T15:05:14,25.95,838.4,17.12,4.17,100.0,0
2026-04-29T15:05:16,25.95,838.42,17.12,4.17,100.0,0
2026-04-29T15:05:17,25.95,838.4,17.12,4.17,100.0,0
