timestamp,temperature_c,pressure_hpa,humidity_percent,light_lux,distance_cm,object_detected
2026-04-29T13:35:58,26.2,838.47,12.46,70.0,100.0,0
2026-04-29T13:35:58,26.19,838.44,12.45,70.83,100.0,0
2026-04-29T13:35:59,26.2,838.42,12.39,68.33,100.0,0
2026-04-29T13:36:00,26.2,838.45,12.32,69.17,100.0,0
2026-04-29T13:36:01,26.19,838.47,12.31,70.0,100.0,0
2026-04-29T13:36:02,26.2,838.48,12.31,70.83,100.0,0
2026-04-29T13:36:03,26.21,838.52,12.33,70.83,100.0,0
2026-04-29T13:36:04,26.2,838.51,12.38,70.0,100.0,0
2026-04-29T13:36:05,26.2,838.53,12.41,70.0,100.0,0
2026-04-29T13:36:06,26.2,838.51,12.47,70.0,100.0,0
