timestamp,temperature_c,pressure_hpa,humidity_percent,light_lux,distance_cm,object_detected
2026-04-29T13:45:50,26.35,838.5,12.71,56.67,31.6,1
2026-04-29T13:45:51,26.36,838.51,12.64,57.5,31.9,1
2026-04-29T13:45:52,26.35,838.51,12.66,56.67,32.3,1
2026-04-29T13:45:53,26.36,838.48,12.7,57.5,33.7,1
2026-04-29T13:45:54,26.36,838.51,12.73,57.5,33.0,1
2026-04-29T13:45:55,26.36,838.53,12.74,57.5,33.1,1
2026-04-29T13:45:56,26.35,838.53,12.75,57.5,33.4,1
2026-04-29T13:45:57,26.36,838.53,12.78,57.5,33.3,1
2026-04-29T13:45:58,26.36,838.55,12.8,57.5,33.5,1
2026-04-29T13:45:59,26.36,838.55,12.83,57.5,33.5,1
2026-04-29T13:46:00,26.35,838.49,12.86,58.33,33.2,1
2026-04-29T13:46:01,26.35,838.5,12.87,57.5,32.8,1
2026-04-29T13:46:02,26.35,838.48,12.86,57.5,33.2,1
2026-04-29T13:46:03,26.35,838.51,12.86,57.5,33.7,1
2026-04-29T13:46:04,26.35,838.48,12.83,56.67,33.0,1
2026-04-29T13:46:05,26.36,838.5,12.82,56.67,33.9,1
2026-04-29T13:46:06,26.36,838.48,12.82,58.33,33.7,1
2026-04-29T13:46:07,26.36,838.48,12.82,57.5,33.4,1
2026-04-29T13:46:08,26.36,838.51,12.82,57.5,33.5,1
2026-04-29T13:46:10,26.36,838.53,12.81,57.5,33.3,1
2026-04-29T13:46:11,26.35,838.49,12.78,57.5,33.5,1
2026-04-29T13:46:12,26.36,838.49,12.75,57.5,33.8,1
2026-04-29T13:46:13,26.36,838.5,12.73,56.67,33.6,1
2026-04-29T13:46:14,26.36,838.53,12.72,57.5,33.2,1
2026-04-29T13:46:15,26.36,838.51,12.71,58.33,33.6,1
2026-04-29T13:46:16,26.36,838.52,12.71,58.33,33.9,1
2026-04-29T13:46:17,26.36,838.52,12.72,58.33,33.4,1
2026-04-29T13:46:18,26.35,838.5,12.73,58.33,33.0,1
2026-04-29T13:46:19,26.35,838.51,12.75,58.33,33.4,1
2026-04-29T13:46:20,26.36,838.52,12.79,58.33,33.4,1
