timestamp,temperature_c,pressure_hpa,humidity_percent,light_lux,distance_cm,object_detected
2026-04-29T13:52:42,26.51,838.38,13.73,-1.0,100.0,0
2026-04-29T13:52:43,26.52,838.43,13.68,18.33,100.0,0
2026-04-29T13:52:44,26.53,838.4,13.62,18.33,100.0,0
2026-04-29T13:52:45,26.53,838.37,13.56,18.33,100.0,0
2026-04-29T13:52:46,26.53,838.37,13.49,18.33,100.0,0
2026-04-29T13:52:47,26.54,838.36,13.46,18.33,100.0,0
2026-04-29T13:52:48,26.54,838.35,13.43,25.83,100.0,0
2026-04-29T13:52:49,26.55,838.33,13.41,27.5,100.0,0
2026-04-29T13:52:50,26.55,838.35,13.39,26.67,100.0,0
2026-04-29T13:52:51,26.56,838.39,13.37,25.0,100.0,0
2026-04-29T13:52:52,26.56,838.41,13.38,25.0,100.0,0
2026-04-29T13:52:53,26.56,838.4,13.44,24.17,100.0,0
2026-04-29T13:52:54,26.57,838.41,13.49,25.0,100.0,0
2026-04-29T13:52:56,26.58,838.44,13.53,25.0,100.0,0
2026-04-29T13:52:57,26.58,838.4,13.58,25.83,100.0,0
2026-04-29T13:52:58,26.58,838.41,13.63,25.83,100.0,0
2026-04-29T13:52:59,26.58,838.36,13.63,26.67,100.0,0
2026-04-29T13:53:00,26.59,838.35,13.62,26.67,100.0,0
2026-04-29T13:53:01,26.59,838.38,13.6,26.67,100.0,0
2026-04-29T13:53:02,26.59,838.36,13.58,25.83,100.0,0
2026-04-29T13:53:03,26.59,838.36,13.57,26.67,100.0,0
2026-04-29T13:53:04,26.59,838.35,13.51,26.67,100.0,0
2026-04-29T13:53:05,26.59,838.36,13.45,26.67,100.0,0
2026-04-29T13:53:06,26.6,838.38,13.43,26.67,100.0,0
2026-04-29T13:53:07,26.6,838.41,13.48,26.67,100.0,0
2026-04-29T13:53:08,26.61,838.46,13.52,25.83,100.0,0
2026-04-29T13:53:09,26.61,838.45,13.52,25.83,100.0,0
2026-04-29T13:53:10,26.62,838.48,13.53,26.67,100.0,0
2026-04-29T13:53:11,26.62,838.49,13.54,26.67,100.0,0
2026-04-29T13:53:12,26.62,838.48,13.53,25.0,100.0,0
